island name,Region,Area km2,Perimeter km,abiotic_plant,zoo_plant,total plant,kgc variety,kgc median,phz_variety,phz median,elevation mean,elevation std,elevation range,precipitation mean,precipitation std,precipitation range,median_soil,soil_variety,near_length,number_near,mass_effect,native total bird,native total reptile,native total mammal,native total frugivore,total_bird_mass,total_mammal_mass,total_reptile_mass,total_frugivore_mass,min_temp_range,min_temp_mean,Centroid_X,Centroid_Y
Cayo Cruz del Padre,Cuba,37.95194615,78.09955707,1150,435,1585,1,3,2,130,4.506559332,3.369438734,14,1386.189189,4.925596893,2,0,1,0,6,1501.215203,35,2,5,42,1791,5650,14,7531,0.5,20.88400009,-80.90110813,23.2456446
Culebra,PR+VI,37.54892614,45.17676751,515,210,725,1,3,1,140,33.14160948,38.24586266,189,1100.571429,36.53513824,65,0,1,13782.443,8,1466.84815,25,6,0,32,2082,0,8348,10416,0.600000381,19.22388057,-65.29063843,18.31778618
Yellow Cay,Bahamas,37.37916282,41.75448811,542,185,727,1,3,1,130,1.031099034,2.207105675,25,1160.545455,12.78514979,30,99,1,511.5589263,6,2156.798527,39,1,0,42,1895,0,13,13708,0.399999619,18.60769272,-77.9636091,24.2425452
Samana Cay,Bahamas,35.33326969,36.00627025,1,36,37,1,3,1,135,5.128254581,4.753310996,28,787.8709677,4.969207995,4,99,1,37751.178,4,310.724077,37,1,0,38,1529,0,14,1543,0.5,19.18400032,-73.74340525,23.09298241
Great Harbour Cay,Bahamas,32.16888719,61.96330715,4,4,8,1,3,2,125,4.702516374,5.164454107,31,1279.514286,5.123455467,9,99,1,50352.99068,5,32.27145342,36,3,0,39,1421,0,91,1503,0.299999237,18.94351859,-77.85203967,25.74833495
Cayos Dromedanos,Cuba,30.9403177,45.2800236,1148,528,1676,1,3,1,130,4.959280998,3.238302511,25,1214.064516,2.327056619,6,99,1,149.6779871,10,101170.749,35,0,24,59,2037,5672,0,7709,0.299999237,18.27169489,-79.91019988,22.94590195
Cayo El Rosario,Cuba,30.63441194,50.99551242,970,322,1292,1,3,1,130,3.535005616,3.117472707,12,1087.033333,5.907528154,14,0,1,2130.278413,4,32.87277741,34,4,1,39,1509,5650,112,7259,1.099998474,19.59407714,-81.89033569,21.63851095
Long Cay,Bahamas,29.75760423,36.98332408,394,77,471,1,3,1,135,2.735271614,3.131570855,28,712.25,6.068801953,3,99,1,2066.78931,4,306.0883486,36,1,0,37,1663,0,14,1677,0.400001526,22.057143,-74.34375122,22.59345367
Cuba cluster 4,Cuba,29.199419,100.9297466,1073,406,1479,1,3,1,130,0.0995671,0.525541839,17,1176.533333,21.350618,51,0,1,188.342514,8,44.90267009,8,0,1,9,946,5650,0,6596,0.200000763,19.43333351,-78.45029383,20.71851763
West Caicos,Bahamas,28.67718096,28.16805837,291,159,450,1,6,1,135,4.596470116,3.260826882,19,760.8148148,2.228386512,3,0,1,8330.895699,8,250.169251,35,2,0,37,1599,0,5650,7247,0,18.77142824,-72.4545764,21.66715678
Cayo pajonal,Cuba,28.59745089,76.14367751,855,532,1387,1,3,2,120,1.266693164,1.672993291,12,1235.653846,5.490847684,13,99,1,3832.831044,8,42902.45991,34,1,2,37,1884,6377,13,8262,0.299999237,17.6122353,-79.70106191,22.8665578
Ragged Island,Bahamas,28.27618669,55.09976945,256,100,356,1,6,1,135,2.693241603,4.608662736,32,722.6521739,3.304919859,1,0,1,113660,0,NA,31,3,0,34,1171,0,91,1253,0.799999237,17.70909107,-75.7277085,22.20312659
Great Guana Cay,Bahamas,27.41636333,39.02736437,361,149,510,1,3,1,130,3.526943645,6.216708461,40,990.4375,4.256887801,4,99,1,37466.50656,4,27.43601473,35,5,0,39,1510,0,11898,13387,0.300001144,19.33626345,-76.36993874,24.05483187
Cuba cluster 5,Cuba,26.07357384,121.4129859,875,281,1156,1,3,1,130,1.582422387,2.80796336,14,1277.52,7.111230555,10,0,1,1343.805635,6,46.54021769,12,1,1,15,1379,5650,17660,24754,0.399999619,18.88417501,-79.43045946,22.63576751
Bimini,Bahamas,25.9892312,59.21987237,332,207,539,1,3,1,125,5.833762887,4.740004234,20,1217.407407,3.28023553,9,99,1,93616.65309,1,1142.319883,35,5,0,39,1591,0,98,1677,0.200000763,20.80506326,-79.26912526,25.73200836
South Caicos,Bahamas,25.19514342,31.2712703,204,58,262,1,6,1,140,6.664995442,6.58209401,49,744.5862069,7.280191554,12,0,1,3381.960669,6,184.5297233,36,2,0,38,1663,0,5650,7311,0.199998856,21.3499999,-71.51303855,21.51472864
La Desirade,Lesser Antilles,25.06269312,34.13189435,333,96,429,2,2,1,140,92.19309039,92.33750317,282,1089.52,33.48207879,57,56,2,8736.71,4,588.2484033,19,1,0,21,744,0,3475,4227,1.600000381,20.40181819,-61.0468986,16.32274421
Saint Eustatius,Lesser Antilles,22.54791832,21.03474479,57,20,77,3,2,1,140,82.87610619,102.323996,564,1166.75,47.49828944,86,0,1,56774.22778,7,1003.273399,15,4,1,20,966,46,3530,4488,2.299999237,19.61785759,-62.97503442,17.49912892
Saint Barthelemy,Lesser Antilles,22.2001499,27.91394797,327,39,366,2,3,1,140,50.47651715,53.96678694,240,1004.047619,13.23227004,5,0,1,25782.68401,4,606.9161323,18,5,0,23,956,0,11728,12662,0.799999237,18.39677386,-62.83279556,17.90624887
Cuba cluster 6,Cuba,22.17708731,75.81101626,1150,437,1587,1,3,2,120,1.9414162,2.644524795,11,1378.866667,8.601291893,1,99,1,61.67391647,6,49.68434267,29,0,1,30,1695,5650,0,7345,0.099998474,17.22421099,-80.71364685,23.19948612
Mbres Island,Bahamas,22.05568265,28.9737694,1,23,24,1,2,1,125,3.203109328,3.301981163,30,1281.727273,6.150992663,13,99,1,27968.57392,4,776.6698715,35,2,0,37,1486,0,81,1567,0.5,18.59250045,-77.56019679,26.29802977
Cuba cluster 7,Cuba,21.78785214,55.89130639,909,531,1440,1,3,1,135,0.845306765,1.21978221,6,832.4761905,17.8608885,4,0,1,2495.796568,6,24.11704581,36,6,7,49,3618,5650,17750,27228,0.200000763,21.5336001,-78.17062147,22.45520441
Grand Turk Island,Bahamas,21.63103938,23.90209178,6,123,129,1,6,1,140,6.088829787,5.711884094,30,715.1304348,3.300913547,2,0,1,35435.06523,4,21.64279524,34,2,0,36,1272,0,5650,6920,0.799999237,20.73007502,-71.13818426,21.46630406
Cuba cluster 8,Cuba,21.57193703,33.11982172,293,0,293,1,3,1,135,0.3392,0.886722444,7,1129.533333,2.679966832,1,0,1,4443.110046,10,45.03780604,31,2,1,35,1346,5650,17673,24654,0,20.06047435,-78.78474853,20.73373657
Bequia,Lesser Antilles,21.31425196,32.31472683,457,360,817,1,1,1,145,63.88870057,62.32617443,264,1815.772727,65.50012617,0,0,1,7871.137965,4,344.3250232,15,4,2,21,1026,42,8587,9344,1.5,21.29639422,-61.23512819,13.00902852
Cuba cluster 9,Cuba,20.85644888,48.79533424,1149,527,1676,1,3,1,130,3.733695652,3.568850051,16,1205.052632,1.76138953,5,99,1,0,27,827.8637979,34,0,1,35,1897,5650,0,7547,0.100000381,20.64222254,-80.0094225,23.0220216
Cayo Guillermo,Cuba,20.65857767,41.52614497,1099,397,1496,1,3,2,130,2.535675082,2.560699033,15,1063.904762,5.079414682,7,99,1,0,7,1501.687949,36,6,6,47,1878,11300,17787,30869,0.099998474,16.17527043,-78.67276688,22.59059593
Cayo Blanquizal,Cuba,20.04985346,52.69131443,136,30,166,1,3,1,120,3.061016949,3.260221663,14,1294.615385,6.270056576,1,99,1,2238.224775,8,13584.39883,30,0,1,31,1597,5650,0,7247,0.100000381,19.25634219,-80.40781022,23.14746136
