Family,Species,Taxa,Status,Frugivore,Source,Note,Body mass,mass source,number of islands
Dactyloidae,Anolis evermanni,reptile,1,1,Valido and Olesen 2019,,9.8,Slavenko et al. 2016,1
Dactyloidae,Anolis extremus,reptile,1,1,Valido and Olesen 2019,,12.6,Slavenko et al. 2016,2
Dactyloidae,Anolis fairchildi,reptile,1,1,Powell and Henderson 2012,,9.1,Slavenko et al. 2016,0
Dactyloidae,Anolis ferreus,reptile,1,1,Bochaton et al. 2017,,35.7,Slavenko et al. 2016,1
Dactyloidae,Anolis forresti,reptile,1,1,Daltry 2007,,2.98,Slavenko et al. 2016,1
Dactyloidae,Anolis fowleri,reptile,1,1,Hedges and Thomas 1989,,9.5,Slavenko et al. 2016,1
Dactyloidae,Anolis garmani,reptile,1,1,Valido and Olesen 2019,,52.6,Slavenko et al. 2016,1
Dactyloidae,Anolis gingivinus,reptile,1,1,Valido and Olesen 2019,,7.8,Slavenko et al. 2016,3
Dactyloidae,Anolis grahami,reptile,1,1,Valido and Olesen 2019,,8.7,Slavenko et al. 2016,1
Dactyloidae,Anolis griseus,reptile,1,1,Valido and Olesen 2019,,50.4,Slavenko et al. 2016,1
Dactyloidae,Anolis guamuhaya,reptile,1,1,Valido and Olesen 2019,,84.3,Slavenko et al. 2016,2
Dactyloidae,Anolis gundlachi,reptile,1,1,Valido and Olesen 2019,,9.1,Slavenko et al. 2016,1
Dactyloidae,Anolis hendersoni,reptile,1,1,Goldberg et al. 1998,,2.5,Slavenko et al. 2016,1
Dactyloidae,Anolis homolechis,reptile,1,1,Valido and Olesen 2019,,7.1,Slavenko et al. 2016,8
Dactyloidae,Anolis insolitus,reptile,1,1,Hedges and Thomas 1989,,2.2,Slavenko et al. 2016,1
Dactyloidae,Anolis jubar,reptile,1,1,Valido and Olesen 2019,,5,Slavenko et al. 2016,12
Dactyloidae,Anolis koopmani,reptile,1,1,Powell and Henderson 2012,,1.6,Slavenko et al. 2016,1
Dactyloidae,Anolis krugi,reptile,1,1,Valido and Olesen 2019,,3.5,Slavenko et al. 2016,1
Dactyloidae,Anolis leachii,reptile,1,1,Valido and Olesen 2019,,37.5,Slavenko et al. 2016,3
Dactyloidae,Anolis lineatopus,reptile,1,1,Valido and Olesen 2019,,8.1,Slavenko et al. 2016,1
Dactyloidae,Anolis longitibialis,reptile,1,1,Powell and Henderson 2012,,7.8,Slavenko et al. 2016,2
Dactyloidae,Anolis lucius,reptile,1,1,Valido and Olesen 2019,,7.1,Slavenko et al. 2016,4
Dactyloidae,Anolis luteogularis,reptile,1,1,Valido and Olesen 2019,,136.8,Slavenko et al. 2016,6
Dactyloidae,Anolis marcanoi,reptile,1,1,Powell and Henderson 2012,,5.7,Slavenko et al. 2016,1
Dactyloidae,Anolis marmoratus,reptile,1,1,Powell and Henderson 2012,,12.6,Slavenko et al. 2016,2
Dactyloidae,Anolis monensis,reptile,1,1,Valido and Olesen 2019,,4.5,Slavenko et al. 2016,3
Dactyloidae,Anolis monticola,reptile,1,1,Powell and Henderson 2012,,3.7,Slavenko et al. 2016,1
Dactyloidae,Anolis nelsoni,reptile,1,1,Powell and Henderson 2012,,6.3,Slavenko et al. 2016,0
Dactyloidae,Anolis noblei,reptile,1,1,Valido and Olesen 2019,,134.6,Slavenko et al. 2016,4
Dactyloidae,Anolis nubilus,reptile,1,1,Gorman and Stamm 1975,,11,Slavenko et al. 2016,0
Dactyloidae,Anolis oculatus,reptile,1,1,Valido and Olesen 2019,,19.2,Slavenko et al. 2016,1
Dactyloidae,Anolis olssoni,reptile,1,1,Powell and Henderson 2012,,3.1,Slavenko et al. 2016,2
Dactyloidae,Anolis pigmaequestris,reptile,1,1,Valido and Olesen 2019,,54.8,Slavenko et al. 2016,2
Dactyloidae,Anolis placidus,reptile,1,1,Hedges and Thomas 1989,,2.1,Slavenko et al. 2016,1
Dactyloidae,Anolis pogus,reptile,1,1,Valido and Olesen 2019,,4.1,Slavenko et al. 2016,2
Dactyloidae,Anolis porcatus,reptile,1,1,Valido and Olesen 2019,,17.6,Slavenko et al. 2016,12
Dactyloidae,Anolis porcus,reptile,1,1,Valido and Olesen 2019,,100.5,Slavenko et al. 2016,4
Dactyloidae,Anolis pulchellus,reptile,1,1,Valido and Olesen 2019,,2.9,Slavenko et al. 2016,9
Dactyloidae,Anolis richardii,reptile,1,1,Valido and Olesen 2019,,54.9,Slavenko et al. 2016,3
Dactyloidae,Anolis ricordii,reptile,1,1,Powell and Henderson 2012,,134.6,Slavenko et al. 2016,2
Dactyloidae,Anolis rimarum,reptile,1,1,Powell and Henderson 2012,,1.9,Slavenko et al. 2016,1
Dactyloidae,Anolis roosevelti,reptile,1,1,Valido and Olesen 2019,,84.3,Feldman et al. 2015,4
Dactyloidae,Anolis rupinae,reptile,1,1,Powell and Henderson 2012,,3.9,Slavenko et al. 2016,1
Dactyloidae,Anolis sabanus,reptile,1,1,Valido and Olesen 2019,,15,Slavenko et al. 2016,2
Dactyloidae,Anolis sagrei,reptile,1,1,Valido and Olesen 2019,,8.7,Slavenko et al. 2016,37
Dactyloidae,Anolis schwartzi,reptile,1,1,Valido and Olesen 2019,,2.5,Slavenko et al. 2016,3
Dactyloidae,Anolis semilineatus,reptile,1,1,Powell and Henderson 2012,,2.2,Slavenko et al. 2016,3
Dactyloidae,Anolis sheplani,reptile,1,1,Powell and Henderson 2012,,1.5,Slavenko et al. 2016,3
Dactyloidae,Anolis shrevei,reptile,1,1,Powell and Henderson 2012,,4.5,Slavenko et al. 2016,1
Dactyloidae,Anolis singularis,reptile,1,1,Powell and Henderson 2012,,3,Slavenko et al. 2016,2
Dactyloidae,Anolis smallwoodi,reptile,1,1,Valido and Olesen 2019,,134.7,Slavenko et al. 2016,4
Dactyloidae,Anolis smaragdinus,reptile,1,1,Powell and Henderson 2012,,5.5,Slavenko et al. 2016,16
Dactyloidae,Anolis strahmi,reptile,1,1,Powell and Henderson 2012,,10.2,Slavenko et al. 2016,1
Dactyloidae,Anolis stratulus,reptile,1,1,Valido and Olesen 2019,,4.8,Slavenko et al. 2016,9
Dactyloidae,Anolis terraealtae,reptile,1,1,Powell and Henderson 2012,,10.6,Slavenko et al. 2016,0
Dactyloidae,Anolis valencienni,reptile,1,1,Valido and Olesen 2019,,13.1,Slavenko et al. 2016,1
Dactyloidae,Anolis vermiculatus,reptile,1,1,Valido and Olesen 2019,,49.3,Slavenko et al. 2016,4
Dactyloidae,Anolis wattsi,reptile,1,1,Valido and Olesen 2019,,4.1,Slavenko et al. 2016,3
Dactyloidae,Anolis whitemani,reptile,1,1,Powell and Henderson 2012,,6.3,Slavenko et al. 2016,1
Squamata,Aristelliger lar,reptile,1,1,Valido and Olesen 2019,,80.2,Slavenko et al. 2016,1
Squamata,Aristelliger praesignis,reptile,1,1,Powell and Henderson 2012,,21.3,Slavenko et al. 2016,4
Diploglossidae,Celestus agasepsoides,reptile,1,1,Powell and Henderson 2012,,2.3,Slavenko et al. 2016,1
Diploglossidae,Celestus anelpistus,reptile,1,1,Powell and Henderson 2012,,599.6,Slavenko et al. 2016,1
Diploglossidae,Celestus badius,reptile,1,1,Powell and Henderson 2012,,18,Feldman et al. 2015,0
Diploglossidae,Celestus barbouri,reptile,1,1,Powell and Henderson 2012,,19.2,Feldman et al. 2015,1
Diploglossidae,Celestus carraui,reptile,1,1,Powell et al. 2000,,584.8,Slavenko et al. 2016,0
Diploglossidae,Celestus costatus,reptile,1,1,Valido and Olesen 2019,,36,Slavenko et al. 2016,4
Diploglossidae,Celestus crusculus maculates,reptile,1,1,Bradley et al. 1986,,11.7,Slavenko et al. 2016,0
Diploglossidae,Celestus curtissi,reptile,1,1,Powell and Henderson 2012,,9.3,Slavenko et al. 2016,5
Diploglossidae,Celestus darlingtoni,reptile,1,1,Powell and Henderson 2012,,8.9,Slavenko et al. 2016,1
Diploglossidae,Celestus duquesneyi,reptile,1,1,Powell and Henderson 2012,,22.5,Slavenko et al. 2016,1
Diploglossidae,Celestus fowleri,reptile,1,1,Powell and Henderson 2012,,18.6,Slavenko et al. 2016,1
Diploglossidae,Celestus haetianus,reptile,1,1,Powell and Henderson 2012,,14.6,Slavenko et al. 2016,1
Diploglossidae,Celestus marcanoi,reptile,1,1,Powell and Henderson 2012,,6.6,Slavenko et al. 2016,1
Diploglossidae,Celestus occiduus,reptile,1,1,Valido and Olesen 2019,,897.3,Feldman et al. 2015,1
Diploglossidae,Celestus sepsoides,reptile,1,1,Powell and Henderson 2012,,6.6,Slavenko et al. 2016,3
Diploglossidae,Celestus stenurus,reptile,1,1,Powell and Henderson 2012,,103.5,Slavenko et al. 2016,3
Diploglossidae,Celestus warreni,reptile,1,1,Powell and Henderson 2012,,599.8,Slavenko et al. 2016,2
Teiidae,Cnemidophorus vanzoi,reptile,1,1,Valido and Olesen 2019,,72.1,Slavenko et al. 2016,1
Iguanidae,Ctenosaura similis,reptile,1,1,Valido and Olesen 2019,,4977.4,Slavenko et al. 2016,0
Iguanidae,Cyclura carinata,reptile,1,1,Valido and Olesen 2019,,5610.5,Slavenko et al. 2016,7
Iguanidae,Cyclura collei,reptile,1,1,Valido and Olesen 2019,,3334.3,Slavenko et al. 2016,1
Iguanidae,Cyclura cornuta,reptile,1,1,Valido and Olesen 2019,,11015.4,Slavenko et al. 2016,7
Iguanidae,Cyclura cychlura,reptile,1,1,Valido and Olesen 2019,,11803.2,Slavenko et al. 2016,13
Iguanidae,Cyclura nubila,reptile,1,1,Valido and Olesen 2019,,17660.4,Slavenko et al. 2016,18
Iguanidae,Cyclura nubila lewisi,reptile,1,1,Valido and Olesen 2019,,7014.6,Slavenko et al. 2016,1
Iguanidae,Cyclura pinguis,reptile,1,1,Valido and Olesen 2019,,7413.1,Slavenko et al. 2016,2
Iguanidae,Cyclura ricordi,reptile,1,1,Valido and Olesen 2019,,4830.6,Slavenko et al. 2016,1
Iguanidae,Cyclura rileyi,reptile,1,1,Valido and Olesen 2019,,2624.2,Slavenko et al. 2016,5
Diploglossidae,Diploglossus montisserrati,reptile,1,1,Powell and Henderson 2012,,121.1,Slavenko et al. 2016,1
Diploglossidae,Diploglossus pleii,reptile,1,1,Powell and Henderson 2012,,80.4,Slavenko et al. 2016,1
Iguanidae,Iguana delicatissima,reptile,1,1,Valido and Olesen 2019,,3475.4,Slavenko et al. 2016,14
Iguanidae,Iguana iguana,reptile,1,1,Valido and Olesen 2019,,8222.4,Slavenko et al. 2016,25
Leiocephalidae,Leiocephalus barahonensis,reptile,1,1,Valido and Olesen 2019,,16.1,Slavenko et al. 2016,2
Leiocephalidae,Leiocephalus carinatus,reptile,1,1,Valido and Olesen 2019,,71.9,Slavenko et al. 2016,33
Leiocephalidae,Leiocephalus endomychus,reptile,1,1,Powell and Henderson 2012,,8.5,Feldman et al. 2015,1
Leiocephalidae,Leiocephalus inaguae,reptile,1,1,Valido and Olesen 2019,,20.2,Slavenko et al. 2016,1
Leiocephalidae,Leiocephalus loxogrammus,reptile,1,1,Valido and Olesen 2019,,21.7,Slavenko et al. 2016,2
Leiocephalidae,Leiocephalus lunatus,reptile,1,1,Powell and Henderson 2012,,7.7,Slavenko et al. 2016,2
Leiocephalidae,Leiocephalus macropus,reptile,1,1,Valido and Olesen 2019,,24,Slavenko et al. 2016,6
Leiocephalidae,Leiocephalus melanochlorus,reptile,1,1,Powell and Henderson 2012,,66.5,Slavenko et al. 2016,2
Leiocephalidae,Leiocephalus onaneyi,reptile,1,1,Valido and Olesen 2019,,10.2,Slavenko et al. 2016,4
Leiocephalidae,Leiocephalus personatus,reptile,1,1,Powell and Henderson 2012,,36.4,Slavenko et al. 2016,1
Leiocephalidae,Leiocephalus pratensis,reptile,1,1,Powell and Henderson 2012,,6.7,Slavenko et al. 2016,1
Leiocephalidae,Leiocephalus psammodromus,reptile,1,1,Valido and Olesen 2019,,38.6,Slavenko et al. 2016,7
Leiocephalidae,Leiocephalus punctatus,reptile,1,1,Valido and Olesen 2019,,13.8,Slavenko et al. 2016,4
Leiocephalidae,Leiocephalus raviceps,reptile,1,1,Valido and Olesen 2019,,10.7,Slavenko et al. 2016,4
Leiocephalidae,Leiocephalus rhutidira,reptile,1,1,Powell and Henderson 2012,,7.4,Slavenko et al. 2016,1
Leiocephalidae,Leiocephalus schreibersii,reptile,1,1,Valido and Olesen 2019,,35.3,Slavenko et al. 2016,2
Leiocephalidae,Leiocephalus semilineatus,reptile,1,1,Valido and Olesen 2019,,3.6,Slavenko et al. 2016,1
Leiocephalidae,Leiocephalus stictigaster,reptile,1,1,Valido and Olesen 2019,,28.4,Slavenko et al. 2016,9
Teiidae,Pholidoscelis atratus,reptile,1,1,Valido and Olesen 2019,,13.2,Meiri 2019,0
Teiidae,Pholidoscelis auberi,reptile,1,1,Valido and Olesen 2019,,13.2,Meiri 2019,35
Teiidae,Pholidoscelis chrysolaemus,reptile,1,1,Valido and Olesen 2019,,13.2,Meiri 2019,4
Teiidae,Pholidoscelis corax,reptile,1,1,Valido and Olesen 2019,,13.2,Meiri 2019,0
Teiidae,Pholidoscelis erythrocephalus,reptile,1,1,Valido and Olesen 2019,,13.2,Meiri 2019,3
Teiidae,Pholidoscelis exsul,reptile,1,1,Valido and Olesen 2019,,24.3,Meiri 2019,9
Teiidae,Pholidoscelis fuscatus,reptile,1,1,Valido and Olesen 2019,,49.1,Meiri 2019,1
Teiidae,Pholidoscelis griswoldi,reptile,1,1,Valido and Olesen 2019,,13.2,Meiri 2019,2
Teiidae,Pholidoscelis plei,reptile,1,1,Valido and Olesen 2019,,18.8,Meiri 2019,3
Teiidae,Pholidoscelis pluvianotatus,reptile,1,1,Valido and Olesen 2019,,18.8,Meiri 2019,1
