Family,Species,Taxa,Status,Frugivore,Source,Note,Body mass,mass source,number of islands
Columbidae,Geotrygon mystacea,bird,1,1,Complete Checklist of the Birds of the West Indies,,211,birds of the world,15
Columbidae,Geotrygon versicolor,bird,1,1,Complete Checklist of the Birds of the West Indies,,225,birds of the world,1
Fringilidae,Haemorhous mexicanus,bird,1,1,Complete Checklist of the Birds of the West Indies,,21,birds of the world,0
Turdidae,Hylocichla mustelina,bird,1,1,Complete Checklist of the Birds of the West Indies,,50.15,birds of the world,10
Icteriidae,Icteria virens,bird,1,1,Complete Checklist of the Birds of the West Indies,,24.9,birds of the world,0
Icteriidae,Icterus bonana,bird,1,1,Complete Checklist of the Birds of the West Indies,,29,birds of the world,1
Icteriidae,Icterus bullockii,bird,1,1,Complete Checklist of the Birds of the West Indies,,37.9,birds of the world,0
Icteriidae,Icterus cucullatus,bird,1,1,Complete Checklist of the Birds of the West Indies,,24.3,birds of the world,0
Icteriidae,Icterus dominicensis,bird,1,1,Complete Checklist of the Birds of the West Indies,,35.75,birds of the world,5
Icteriidae,Icterus galbula,bird,1,1,Complete Checklist of the Birds of the West Indies,,32.85,birds of the world,72
Icteriidae,Icterus laudabilis,bird,1,1,Complete Checklist of the Birds of the West Indies,,36.9,birds of the world,1
Icteriidae,Icterus leucopteryx,bird,1,1,Complete Checklist of the Birds of the West Indies,,36.9,birds of the world,2
Icteriidae,Icterus melanopsis,bird,1,1,Complete Checklist of the Birds of the West Indies,,37.05,birds of the world,6
Icteriidae,Icterus nigrogularis,bird,1,1,Complete Checklist of the Birds of the West Indies,,40.2,birds of the world,0
Icteriidae,Icterus northropi,bird,1,1,Complete Checklist of the Birds of the West Indies,,38.6,https://animaldiversity.org/accounts/Icterus_northropi/,5
Icteriidae,Icterus oberi,bird,1,1,Complete Checklist of the Birds of the West Indies,,35.83,birds of the world,1
Icteriidae,Icterus portoricensis,bird,1,1,Complete Checklist of the Birds of the West Indies,,38.8,birds of the world,1
Icteriidae,Icterus spurius,bird,1,1,Complete Checklist of the Birds of the West Indies,,19,birds of the world,0
Parulidae,Leiothlypis celata,bird,1,1,Complete Checklist of the Birds of the West Indies,,9,http://datazone.birdlife.org/species/factsheet/orange-crowned-warbler-leiothlypis-celata/details,18
Parulidae,Leiothlypis ruficapilla,bird,1,1,Complete Checklist of the Birds of the West Indies,,10,birds of the world,23
Columbidae,Leptotila jamaicensis,bird,1,1,Complete Checklist of the Birds of the West Indies,,165,birds of the world,4
Columbidae,Leptotila wellsi,bird,1,1,Complete Checklist of the Birds of the West Indies,,200,birds of the world,1
Thraupidae,Loxigilla noctis,bird,1,1,Complete Checklist of the Birds of the West Indies,,16.66,birds of the world,21
Thraupidae,Loxipasser anoxanthus,bird,1,1,Complete Checklist of the Birds of the West Indies,,11.4,birds of the world,1
Mimidae,Margarops fuscatus,bird,1,1,Complete Checklist of the Birds of the West Indies,,98.63,birds of the world,46
Thraupidae,Melanospiza richardsoni,bird,1,1,Complete Checklist of the Birds of the West Indies,,20.9,birds of the world,1
Thraupidae,Melopyrrha nigra,bird,1,1,Complete Checklist of the Birds of the West Indies,,14,birds of the world,0
Thraupidae,Melopyrrha portoricensis,bird,1,1,Complete Checklist of the Birds of the West Indies,,32,birds of the world,0
Thraupidae,Melopyrrha violacea,bird,1,1,Complete Checklist of the Birds of the West Indies,,20.4,birds of the world,0
Phaenicophilidae,Microligea palustris,bird,1,1,Complete Checklist of the Birds of the West Indies,,13.2,birds of the world,3
Mimidae,Mimus gilvus,bird,1,1,Complete Checklist of the Birds of the West Indies,,46.3,birds of the world,9
Mimidae,Mimus gundlachii,bird,1,1,Complete Checklist of the Birds of the West Indies,,66.8,birds of the world,39
Mimidae,Mimus polyglottos,bird,1,1,Complete Checklist of the Birds of the West Indies,,48.5,birds of the world,74
Turdidae,Myadestes elisabeth,bird,1,1,Complete Checklist of the Birds of the West Indies,,30,birds of the world,4
Turdidae,Myadestes genibarbis,bird,1,1,Complete Checklist of the Birds of the West Indies,,29.2,birds of the world,6
Nesospingidae,Nesospingus speculiferus,bird,1,1,Complete Checklist of the Birds of the West Indies,,35.2,birds of the world,1
Muscicapidae,Oenanthe oenanthe,bird,1,1,Complete Checklist of the Birds of the West Indies,,23,birds of the world,0
Parulidae,Oporornis agilis,bird,1,1,Complete Checklist of the Birds of the West Indies,,13.3,birds of the world,0
Cardinalidae,Passerina caerulea,bird,1,1,Complete Checklist of the Birds of the West Indies,,27.4,birds of the world,66
Columbidae,Patagioenas caribaea,bird,1,1,Complete Checklist of the Birds of the West Indies,,250,birds of the world,1
Columbidae,Patagioenas inornata,bird,1,1,Complete Checklist of the Birds of the West Indies,,365,birds of the world,26
Columbidae,Patagioenas leucocephala,bird,1,1,Complete Checklist of the Birds of the West Indies,,238,birds of the world,82
Columbidae,Patagioenas squarmosa,bird,1,1,Complete Checklist of the Birds of the West Indies,https://www.birdscaribbean.org/caribbean-birds/,312,birds of the world,32
Phaenicophilidae,Phaenicophilus palmarum,bird,1,1,Complete Checklist of the Birds of the West Indies,,30.5,birds of the world,2
Phaenicophilidae,Phaenicophilus poliocephalus,bird,1,1,Complete Checklist of the Birds of the West Indies,,31,birds of the world,4
Cardinalidae,Pheucticus ludovicianus,bird,1,1,Complete Checklist of the Birds of the West Indies,,42,birds of the world,81
Thraupidae,Phonipara canora,bird,1,1,Complete Checklist of the Birds of the West Indies,,8,birds of the world,3
Passerellidae,Pipilo chlorurus,bird,1,1,Complete Checklist of the Birds of the West Indies,,29.4,birds of the world,0
Cardinalidae,Piranga ludoviciana,bird,1,1,Complete Checklist of the Birds of the West Indies,,28.1,birds of the world,0
Cardinalidae,Piranga olivacea,bird,1,1,Complete Checklist of the Birds of the West Indies,,28.2,birds of the world,63
Cardinalidae,Piranga rubra,bird,1,1,Complete Checklist of the Birds of the West Indies,,29.15,birds of the world,61
Trogonidae,Priotelus roseigaster,bird,1,1,Complete Checklist of the Birds of the West Indies,,74.2,birds of the world,0
Trogonidae,Priotelus temnurus,bird,1,1,Complete Checklist of the Birds of the West Indies,,53.4,birds of the world,6
Parulidae,Protonotaria citrea,bird,1,1,Complete Checklist of the Birds of the West Indies,,14.3,birds of the world,76
Psittacidae,Psittacara chloroptterus,bird,1,1,Complete Checklist of the Birds of the West Indies,,146,birds of the world,1
Psittacidae,Psittacara euops,bird,1,1,Complete Checklist of the Birds of the West Indies,,90,birds of the world,17
Icteridae,Quiscalus lugubris,bird,1,1,Complete Checklist of the Birds of the West Indies,,63.65,birds of the world,20
Icteridae,Quiscalus niger,bird,1,1,Complete Checklist of the Birds of the West Indies,,62,birds of the world,36
Mimidae,Ramphocinclus brachyurus,bird,1,1,Complete Checklist of the Birds of the West Indies,,50,birds of the world,2
Thraupidae,Saltator albicollis,bird,1,1,Complete Checklist of the Birds of the West Indies,,36.9,birds of the world,5
Tyrannidae,Sayornis phoebe,bird,1,1,Complete Checklist of the Birds of the West Indies,,19.7,birds of the world,1
Parulidae,Setophaga adelaidae,bird,1,1,Complete Checklist of the Birds of the West Indies,,7,birds of the world,2
Parulidae,Setophaga americana,bird,1,1,Complete Checklist of the Birds of the West Indies,,5.8,birds of the world,86
Parulidae,Setophaga caerulescens,bird,1,1,Complete Checklist of the Birds of the West Indies,,10.4,birds of the world,78
Parulidae,Setophaga coronata,bird,1,1,Complete Checklist of the Birds of the West Indies,,12.5,birds of the world,78
Parulidae,Setophaga discolor,bird,1,1,Complete Checklist of the Birds of the West Indies,,7.7,birds of the world,81
Parulidae,Setophaga kirtlandii,bird,1,1,Complete Checklist of the Birds of the West Indies,,14,birds of the world,42
Parulidae,Setophaga palmarum,bird,1,1,Complete Checklist of the Birds of the West Indies,,11.35,birds of the world,76
Parulidae,Setophaga petechia,bird,1,1,Complete Checklist of the Birds of the West Indies,,16,birds of the world,85
Parulidae,Setophaga pinus,bird,1,1,Complete Checklist of the Birds of the West Indies,,12,birds of the world,10
Parulidae,Setophaga plumbea,bird,1,1,Complete Checklist of the Birds of the West Indies,,14,birds of the world,4
Parulidae,Setophaga ruticilla,bird,1,1,Complete Checklist of the Birds of the West Indies,,8.6,birds of the world,86
Parulidae,Setophaga striata,bird,1,1,Complete Checklist of the Birds of the West Indies,,15.35,birds of the world,83
Parulidae,Setophaga tigrina,bird,1,1,Complete Checklist of the Birds of the West Indies,,13.15,birds of the world,25
Parulidae,Setophaga townsendi,bird,1,1,Complete Checklist of the Birds of the West Indies,,8.8,birds of the world,0
Parulidae,Setophaga vitellina,bird,1,1,Complete Checklist of the Birds of the West Indies,,7,birds of the world,3
Turdidae,Sialia sialis,bird,1,1,Complete Checklist of the Birds of the West Indies,,27.5,birds of the world,0
Spindalidae,Spindalis dominicensis,bird,1,1,Complete Checklist of the Birds of the West Indies,,29.4,birds of the world,2
Spindalidae,Spindalis nigricephala,bird,1,1,Complete Checklist of the Birds of the West Indies,,45.1,birds of the world,1
Spindalidae,Spindalis portoricensis,bird,1,1,Complete Checklist of the Birds of the West Indies,,32.15,birds of the world,1
Spindalidae,Spindalis zena,bird,1,1,Complete Checklist of the Birds of the West Indies,,25.8,birds of the world,59
Passerellidae,Spizella passerina,bird,1,1,Complete Checklist of the Birds of the West Indies,,12.2,birds of the world,0
Columbidae,Starnoenas cyanocephala,bird,1,1,Complete Checklist of the Birds of the West Indies,,219,birds of the world,17
Hirundinidae,Stelgidopteryx serripennis,bird,1,1,Complete Checklist of the Birds of the West Indies,,15.7,birds of the world,66
Thraupidae,Stilpnia cucullata,bird,1,1,Complete Checklist of the Birds of the West Indies,,27.9,birds of the world,4
Icteridae,Sturnella magna,bird,1,1,Complete Checklist of the Birds of the West Indies,,92.68,birds of the world,6
Teretistridae,Teretistris fernandinae,bird,1,1,Complete Checklist of the Birds of the West Indies,,9.9,birds of the world,7
Teretistridae,Teretistris fornsi,bird,1,1,Complete Checklist of the Birds of the West Indies,,9.7,birds of the world,6
Mimidae,Toxostoma rufum,bird,1,1,Complete Checklist of the Birds of the West Indies,,68.8,birds of the world,0
Turdidae,Turdus aurantius,bird,1,1,Complete Checklist of the Birds of the West Indies,,81.9,birds of the world,1
Turdidae,Turdus fumigatus,bird,1,1,Complete Checklist of the Birds of the West Indies,,75.85,birds of the world,2
Turdidae,Turdus jamaicensis,bird,1,1,Complete Checklist of the Birds of the West Indies,,59.1,birds of the world,1
Turdidae,Turdus lherminieri,bird,1,1,Complete Checklist of the Birds of the West Indies,,105,birds of the world,5
Turdidae,Turdus migratorius,bird,1,1,Complete Checklist of the Birds of the West Indies,,78.5,birds of the world,13
Turdidae,Turdus nudigenis,bird,1,1,Complete Checklist of the Birds of the West Indies,,63.9,birds of the world,6
Turdidae,Turdus plumbeus,bird,1,1,Complete Checklist of the Birds of the West Indies,,75.35,birds of the world,9
Turdidae,Turdus swalesi,bird,1,1,Complete Checklist of the Birds of the West Indies,,75,birds of the world,1
Tyrannidae,Tyrannus caudifasciatus,bird,1,1,Complete Checklist of the Birds of the West Indies,,42.4,birds of the world,18
Tyrannidae,Tyrannus cubensis,bird,1,1,Complete Checklist of the Birds of the West Indies,,93.6,birds of the world,10
Tyrannidae,Tyrannus dominicensis,bird,1,1,Complete Checklist of the Birds of the West Indies,,46.5,birds of the world,86
Tyrannidae,Tyrannus melacholicus,bird,1,1,Complete Checklist of the Birds of the West Indies,,39,birds of the world,0
Tyrannidae,Tyrannus tyrannus,bird,1,1,Complete Checklist of the Birds of the West Indies,,39.925,birds of the world,20
Tyrannidae,Tyrannus verticalis,bird,1,1,Complete Checklist of the Birds of the West Indies,,39.6,birds of the world,8
Tyrannidae,Tyrannus vociferans,bird,1,1,Complete Checklist of the Birds of the West Indies,,45.6,birds of the world,0
Parulidae,Vermivora bachmanii,bird,1,1,Complete Checklist of the Birds of the West Indies,,12.7,birds of the world,26
Vireonidae,Vireo altiloquus,bird,1,1,Complete Checklist of the Birds of the West Indies,,17.9,birds of the world,83
Vireonidae,Vireo belii,bird,1,1,Complete Checklist of the Birds of the West Indies,,8.6,birds of the world,0
Vireonidae,Vireo caribaeus,bird,1,1,Complete Checklist of the Birds of the West Indies,,9.3,birds of the world,0
Vireonidae,Vireo crassirostris,bird,1,1,Complete Checklist of the Birds of the West Indies,,13.1,birds of the world,46
Vireonidae,Vireo flavifrons,bird,1,1,Complete Checklist of the Birds of the West Indies,,18,birds of the world,59
Vireonidae,Vireo flavoviridis,bird,1,1,Complete Checklist of the Birds of the West Indies,,17.6,birds of the world,0
Vireonidae,Vireo gilvus,bird,1,1,Complete Checklist of the Birds of the West Indies,,12.7,birds of the world,0
Vireonidae,Vireo griseus,bird,1,1,Complete Checklist of the Birds of the West Indies,,11.4,birds of the world,62
Vireonidae,Vireo gundlachii,bird,1,1,Complete Checklist of the Birds of the West Indies,,12.9,birds of the world,7
Vireonidae,Vireo latimeri,bird,1,1,Complete Checklist of the Birds of the West Indies,,12,birds of the world,1
Vireonidae,Vireo magister,bird,1,1,Complete Checklist of the Birds of the West Indies,,15.4,birds of the world,1
Vireonidae,Vireo modestus,bird,1,1,Complete Checklist of the Birds of the West Indies,,9.6,birds of the world,1
Vireonidae,Vireo nanus,bird,1,1,Complete Checklist of the Birds of the West Indies,,10.5,birds of the world,2
Vireonidae,Vireo olivaceus,bird,1,1,Complete Checklist of the Birds of the West Indies,,15.3,birds of the world,60
Vireonidae,Vireo osburni,bird,1,1,Complete Checklist of the Birds of the West Indies,,19.9,birds of the world,1
Vireonidae,Vireo pallens,bird,1,1,Complete Checklist of the Birds of the West Indies,,11,birds of the world,0
Vireonidae,Vireo philadelphicus,bird,1,1,Complete Checklist of the Birds of the West Indies,,11.5,birds of the world,58
Vireonidae,Vireo solitarius,bird,1,1,Complete Checklist of the Birds of the West Indies,,15.3,birds of the world,0
Phaenicophilidae,Xenoligea montana,bird,1,1,Complete Checklist of the Birds of the West Indies,,12,birds of the world,1
Columbidae,Zenaida asiatica,bird,1,1,Complete Checklist of the Birds of the West Indies,,153,birds of the world,78
Columbidae,Zenaida auriculata,bird,1,1,Complete Checklist of the Birds of the West Indies,,89.3,birds of the world,6
Columbidae,Zenaida aurita,bird,1,1,Complete Checklist of the Birds of the West Indies,,156,birds of the world,88
Columbidae,Zenaida macroura,bird,1,1,Complete Checklist of the Birds of the West Indies,,119,birds of the world,70
Phyllostomidae,Ariteus flavescens,mammal,1,1,Morgan 2001,,13,Sherwin n Gannon2005,
Phyllostomidae,Artibeus jamaicensis,mammal,1,1,Morgan 2001,,42.2,Morgan 2001,
Phyllostomidae,Artibeus lituratus,mammal,1,1,"Timm and Genoways, 2003",,60.3,Smith et al. 2003,
Phyllostomidae,Artibeus planirostris,mammal,1,1,"Timm and Genoways, 2003",,47,Smith et al. 2003,
Phyllostomidae,Artibeus schwartzi,mammal,1,1,Larsen et al. 2007,,42.2,similar in size to artibeus jamaicensis,
Solenodontidae,Atopogale cubana,mammal,1,1,Paez and Mancina 2017,,680,Smith et al. 2003,
Phyllostomidae,Brachyphylla cavernarum,mammal,1,1,Morgan 2001,,46.2,Smith et al. 2003,
Phyllostomidae,Brachyphylla nana,mammal,1,1,Morgan 2001,,35.8,Smith et al. 2003,
Echimyidae,Capromys pilorides,mammal,1,1,Turvey et al. 2017,,5650,Smith et al. 2003,
Echimyidae,Capromys pilorides ciprianoi,mammal,1,1,Turvey et al. 2017,,5650,Smith et al. 2003,
Echimyidae,Capromys pilorides doceleguas,mammal,1,1,Turvey et al. 2017,,5650,Smith et al. 2003,
Echimyidae,Capromys pilorides gundlachianus,mammal,1,1,Turvey et al. 2017,,5650,Smith et al. 2003,
Echimyidae,Capromys pilorides pilorides,mammal,1,1,Turvey et al. 2017,,5650,Smith et al. 2003,
Echimyidae,Capromys pilorides relictus,mammal,1,1,Turvey et al. 2017,,5650,Smith et al. 2003,
Phyllostomidae,Chiroderma improvisum,mammal,1,1,"Timm and Genoways, 2003",,35,Timm and Genoways 2003,
Phyllostomidae,Dermanura glauca,mammal,1,1,Larsen et al. 2007,,12,Ortega et al. 2015,
Phyllostomidae,Erophylla bombifrons,mammal,1,1,Morgan 2001,,17,https://animaldiversity.org/accounts/Erophylla_sezekorni/,
Phyllostomidae,Erophylla sezekorni,mammal,1,1,Morgan 2001,,15.8,Smith et al. 2003,
Echimyidae,Geocapromys brownii,mammal,1,1,Turvey et al. 2017,,1500,Smith et al. 2003,
Echimyidae,Geocapromys ingrahami ingrahami,mammal,1,1,Turvey et al. 2017,,800,Smith et al. 2003,
Echimyidae,Mesocapromys angelcabrerai,mammal,1,1,Turvey et al. 2017,,436.7,Paez 2012,
Echimyidae,Mesocapromys auritus,mammal,1,1,Turvey et al. 2017,,726.7,Paez 2012,
Echimyidae,Mesocapromys nanus,mammal,1,1,Turvey et al. 2017,,436.7,Paez 2012,
Echimyidae,Mesocapromys sanfelipensis,mammal,1,1,Turvey et al. 2017,,550,Vinola Lopez,
Phyllostomidae,Monophyllus redmani,mammal,1,1,Morgan 2001,,8.7,Smith et al. 2003,
Echimyidae,Mysateles melanurus,mammal,1,1,Turvey et al. 2017,,1632,Paez 2012,
Echimyidae,Mysateles prehensilis,mammal,1,1,Paez and Mancina 2017,,1172.7,Paez 2012,
Echimyidae,Mysateles prehensilis gundlachi,mammal,1,1,Turvey et al. 2017,,1757.3,Smith et al. 2003,
Echimyidae,Mysateles prehensilis prehensilis,mammal,1,1,Turvey et al. 2017,,1632,Smith et al. 2003,
Phyllostomidae,Phyllonycteris poeyi,mammal,1,1,Morgan 2001,,22,Mancina 2009,
Echimyidae,Plagiodontia aedium,mammal,1,1,Turvey et al. 2017,,1409.5,Paez 2012,
